,State,Year,State_Minimum_Wage,Federal_Minimum_Wage,Victim_Count
285,Indiana,1996,3.35,4.25,36.0
286,Iowa,1996,4.65,4.25,43.0
287,Kansas,1996,2.65,4.25,28.0
288,Kentucky,1996,4.25,4.25,109.0
289,Louisiana,1996,0.0,4.25,6.0
290,Maine,1996,4.25,4.25,58.0
291,Maryland,1996,4.25,4.25,387.0
292,Massachusetts,1996,4.75,4.25,456.0
293,Michigan,1996,3.35,4.25,514.0
294,Minnesota,1996,4.25,4.25,268.0
295,Mississippi,1996,0.0,4.25,3.0
296,Missouri,1996,4.25,4.25,150.0
297,Montana,1996,4.25,4.25,10.0
298,Nebraska,1996,4.25,4.25,3.0
299,Nevada,1996,4.25,4.25,44.0
300,New Hampshire,1996,4.25,4.25,1.0
301,New Jersey,1996,5.05,4.25,839.0
302,New Mexico,1996,4.25,4.25,44.0
303,New York,1996,4.25,4.25,903.0
304,North Carolina,1996,4.25,4.25,34.0
305,North Dakota,1996,4.25,4.25,2.0
306,Ohio,1996,4.25,4.25,234.0
307,Oklahoma,1996,4.25,4.25,83.0
308,Oregon,1996,4.75,4.25,172.0
309,Pennsylvania,1996,4.25,4.25,205.0
310,Puerto Rico,1996,1.2,4.25,0.0
311,Rhode Island,1996,4.45,4.25,40.0
312,South Carolina,1996,0.0,4.25,43.0
313,South Dakota,1996,4.25,4.25,3.0
314,Tennessee,1996,0.0,4.25,33.0
315,Texas,1996,3.35,4.25,350.0
316,U.S. Virgin Islands,1996,4.65,4.25,0.0
317,Utah,1996,4.25,4.25,59.0
318,Vermont,1996,4.75,4.25,4.0
319,Virginia,1996,4.25,4.25,100.0
320,Washington,1996,4.9,4.25,198.0
321,West Virginia,1996,4.25,4.25,4.0
322,Wisconsin,1996,4.25,4.25,43.0
323,Wyoming,1996,1.6,4.25,4.0
324,Alabama,1997,0.0,4.75,0.0
325,Alaska,1997,5.25,4.75,10.0
326,Arizona,1997,0.0,4.75,330.0
327,Arkansas,1997,4.25,4.75,0.0
328,California,1997,4.75,4.75,1831.0
329,Colorado,1997,4.75,4.75,115.0
330,Connecticut,1997,4.77,4.75,113.0
331,Delaware,1997,5.0,4.75,58.0
332,District of Columbia,1997,5.75,4.75,6.0
333,Florida,1997,0.0,4.75,127.0
334,Georgia,1997,3.25,4.75,45.0
335,Guam,1997,4.75,4.75,0.0
336,Hawaii,1997,5.25,4.75,0.0
337,Idaho,1997,4.25,4.75,46.0
338,Illinois,1997,4.75,4.75,339.0
339,Indiana,1997,3.35,4.75,62.0
340,Iowa,1997,4.75,4.75,55.0
341,Kansas,1997,2.65,4.75,55.0
342,Kentucky,1997,4.25,4.75,48.0
343,Louisiana,1997,0.0,4.75,4.0
344,Maine,1997,4.75,4.75,57.0
345,Maryland,1997,4.75,4.75,323.0
346,Massachusetts,1997,5.25,4.75,444.0
347,Michigan,1997,3.35,4.75,463.0
348,Minnesota,1997,4.25,4.75,214.0
349,Mississippi,1997,0.0,4.75,0.0
350,Missouri,1997,4.75,4.75,158.0
351,Montana,1997,4.75,4.75,15.0
352,Nebraska,1997,4.25,4.75,3.0
353,Nevada,1997,4.75,4.75,45.0
354,New Hampshire,1997,4.75,4.75,0.0
355,New Jersey,1997,5.05,4.75,694.0
356,New Mexico,1997,4.25,4.75,24.0
357,New York,1997,4.25,4.75,853.0
358,North Carolina,1997,4.25,4.75,42.0
359,North Dakota,1997,4.75,4.75,2.0
360,Ohio,1997,4.25,4.75,265.0
361,Oklahoma,1997,4.75,4.75,41.0
362,Oregon,1997,5.5,4.75,105.0
363,Pennsylvania,1997,4.75,4.75,163.0
364,Puerto Rico,1997,1.2,4.75,0.0
365,Rhode Island,1997,5.15,4.75,43.0
366,South Carolina,1997,0.0,4.75,71.0
367,South Dakota,1997,4.25,4.75,34.0
368,Tennessee,1997,0.0,4.75,57.0
369,Texas,1997,3.35,4.75,338.0
370,U.S. Virgin Islands,1997,4.65,4.75,0.0
371,Utah,1997,4.75,4.75,52.0
372,Vermont,1997,5.0,4.75,3.0
373,Virginia,1997,4.75,4.75,105.0
374,Washington,1997,4.9,4.75,190.0
375,West Virginia,1997,4.25,4.75,3.0
376,Wisconsin,1997,4.75,4.75,50.0
377,Wyoming,1997,1.6,4.75,6.0
378,Alabama,1998,0.0,5.15,0.0
379,Alaska,1998,5.65,5.15,0.0
380,Arizona,1998,0.0,5.15,283.0
381,Arkansas,1998,5.15,5.15,3.0
382,California,1998,5.15,5.15,1749.0
383,Colorado,1998,5.15,5.15,131.0
384,Connecticut,1998,5.18,5.15,111.0
385,Delaware,1998,5.15,5.15,19.0
386,District of Columbia,1998,6.15,5.15,4.0
387,Florida,1998,0.0,5.15,179.0
388,Georgia,1998,3.25,5.15,34.0
389,Guam,1998,5.15,5.15,0.0
390,Hawaii,1998,5.25,5.15,0.0
391,Idaho,1998,5.15,5.15,56.0
392,Illinois,1998,5.15,5.15,277.0
393,Indiana,1998,3.35,5.15,50.0
394,Iowa,1998,5.15,5.15,42.0
395,Kansas,1998,2.65,5.15,54.0
396,Kentucky,1998,4.25,5.15,48.0
397,Louisiana,1998,0.0,5.15,10.0
398,Maine,1998,5.15,5.15,57.0
399,Maryland,1998,5.15,5.15,282.0
400,Massachusetts,1998,5.25,5.15,443.0
401,Michigan,1998,5.15,5.15,392.0
402,Minnesota,1998,5.15,5.15,248.0
403,Mississippi,1998,0.0,5.15,3.0
404,Missouri,1998,5.15,5.15,120.0
405,Montana,1998,5.15,5.15,22.0
406,Nebraska,1998,5.15,5.15,52.0
407,Nevada,1998,5.15,5.15,60.0
408,New Hampshire,1998,5.15,5.15,16.0
409,New Jersey,1998,5.05,5.15,757.0
410,New Mexico,1998,4.25,5.15,31.0
411,New York,1998,4.25,5.15,776.0
412,North Carolina,1998,5.15,5.15,39.0
413,North Dakota,1998,5.15,5.15,2.0
414,Ohio,1998,4.25,5.15,254.0
415,Oklahoma,1998,5.15,5.15,57.0
416,Oregon,1998,6.0,5.15,101.0
417,Pennsylvania,1998,5.15,5.15,164.0
418,Puerto Rico,1998,1.2,5.15,0.0
419,Rhode Island,1998,5.15,5.15,29.0
420,South Carolina,1998,0.0,5.15,66.0
421,South Dakota,1998,5.15,5.15,19.0
422,Tennessee,1998,0.0,5.15,73.0
423,Texas,1998,3.35,5.15,301.0
424,U.S. Virgin Islands,1998,4.65,5.15,0.0
425,Utah,1998,5.15,5.15,67.0
426,Vermont,1998,5.25,5.15,13.0
427,Virginia,1998,5.15,5.15,158.0
428,Washington,1998,4.9,5.15,223.0
429,West Virginia,1998,4.75,5.15,21.0
430,Wisconsin,1998,5.15,5.15,0.0
431,Wyoming,1998,1.6,5.15,6.0
432,Alabama,1999,0.0,5.15,0.0
433,Alaska,1999,5.65,5.15,5.0
434,Arizona,1999,0.0,5.15,252.0
435,Arkansas,1999,5.15,5.15,8.0
436,California,1999,5.15,5.15,1949.0
437,Colorado,1999,5.15,5.15,155.0
438,Connecticut,1999,5.18,5.15,138.0
439,Delaware,1999,5.15,5.15,37.0
440,District of Columbia,1999,6.15,5.15,11.0
441,Florida,1999,0.0,5.15,267.0
442,Georgia,1999,3.25,5.15,36.0
443,Guam,1999,5.15,5.15,0.0
444,Hawaii,1999,5.25,5.15,0.0
445,Idaho,1999,5.15,5.15,34.0
446,Illinois,1999,5.15,5.15,247.0
447,Indiana,1999,3.35,5.15,112.0
448,Iowa,1999,5.15,5.15,31.0
449,Kansas,1999,2.65,5.15,41.0
450,Kentucky,1999,4.25,5.15,71.0
451,Louisiana,1999,0.0,5.15,6.0
452,Maine,1999,5.15,5.15,22.0
453,Maryland,1999,5.15,5.15,230.0
454,Massachusetts,1999,5.25,5.15,448.0
455,Michigan,1999,5.15,5.15,412.0
456,Minnesota,1999,5.15,5.15,226.0
457,Mississippi,1999,0.0,5.15,2.0
458,Missouri,1999,5.15,5.15,84.0
459,Montana,1999,5.15,5.15,28.0
460,Nebraska,1999,5.15,5.15,35.0
461,Nevada,1999,5.15,5.15,75.0
462,New Hampshire,1999,5.15,5.15,20.0
463,New Jersey,1999,5.05,5.15,617.0
464,New Mexico,1999,4.25,5.15,16.0
465,New York,1999,4.25,5.15,590.0
466,North Carolina,1999,5.15,5.15,31.0
467,North Dakota,1999,5.15,5.15,2.0
468,Ohio,1999,4.25,5.15,232.0
469,Oklahoma,1999,5.15,5.15,42.0
470,Oregon,1999,6.0,5.15,123.0
471,Pennsylvania,1999,5.15,5.15,187.0
472,Puerto Rico,1999,1.2,5.15,0.0
473,Rhode Island,1999,5.15,5.15,41.0
474,South Carolina,1999,0.0,5.15,73.0
475,South Dakota,1999,5.15,5.15,14.0
476,Tennessee,1999,0.0,5.15,131.0
477,Texas,1999,3.35,5.15,263.0
478,U.S. Virgin Islands,1999,4.65,5.15,0.0
479,Utah,1999,5.15,5.15,59.0
480,Vermont,1999,5.25,5.15,16.0
481,Virginia,1999,5.15,5.15,211.0
482,Washington,1999,4.9,5.15,229.0
483,West Virginia,1999,4.75,5.15,33.0
484,Wisconsin,1999,5.15,5.15,49.0
485,Wyoming,1999,1.6,5.15,2.0
486,Alabama,2000,0.0,5.15,0.0
487,Alaska,2000,5.65,5.15,4.0
488,Arizona,2000,0.0,5.15,281.0
489,Arkansas,2000,5.15,5.15,3.0
490,California,2000,5.75,5.15,1943.0
491,Colorado,2000,5.15,5.15,101.0
492,Connecticut,2000,6.15,5.15,156.0
493,Delaware,2000,5.65,5.15,34.0
494,District of Columbia,2000,6.15,5.15,6.0
495,Florida,2000,0.0,5.15,240.0
496,Georgia,2000,3.25,5.15,35.0
497,Guam,2000,5.15,5.15,0.0
498,Hawaii,2000,5.25,5.15,0.0
499,Idaho,2000,5.15,5.15,46.0
500,Illinois,2000,5.15,5.15,183.0
501,Indiana,2000,5.15,5.15,114.0
502,Iowa,2000,5.15,5.15,34.0
503,Kansas,2000,2.65,5.15,75.0
504,Kentucky,2000,5.15,5.15,76.0
505,Louisiana,2000,0.0,5.15,12.0
506,Maine,2000,5.15,5.15,28.0
507,Maryland,2000,5.15,5.15,218.0
508,Massachusetts,2000,6.0,5.15,470.0
509,Michigan,2000,5.15,5.15,423.0
510,Minnesota,2000,4.9,5.15,169.0
511,Mississippi,2000,0.0,5.15,2.0
512,Missouri,2000,5.15,5.15,70.0
513,Montana,2000,4.0,5.15,19.0
514,Nebraska,2000,5.15,5.15,17.0
515,Nevada,2000,5.15,5.15,85.0
516,New Hampshire,2000,5.15,5.15,32.0
517,New Jersey,2000,5.15,5.15,652.0
518,New Mexico,2000,4.25,5.15,15.0
519,New York,2000,4.25,5.15,608.0
520,North Carolina,2000,5.15,5.15,39.0
521,North Dakota,2000,5.15,5.15,5.0
522,Ohio,2000,2.8,5.15,255.0
523,Oklahoma,2000,2.0,5.15,80.0
524,Oregon,2000,6.5,5.15,142.0
525,Pennsylvania,2000,5.15,5.15,141.0
526,Puerto Rico,2000,3.61,5.15,0.0
527,Rhode Island,2000,5.65,5.15,48.0
528,South Carolina,2000,0.0,5.15,36.0
529,South Dakota,2000,5.15,5.15,9.0
530,Tennessee,2000,0.0,5.15,236.0
531,Texas,2000,3.35,5.15,287.0
532,U.S. Virgin Islands,2000,4.3,5.15,0.0
533,Utah,2000,5.15,5.15,75.0
534,Vermont,2000,5.75,5.15,19.0
535,Virginia,2000,5.15,5.15,324.0
536,Washington,2000,6.5,5.15,242.0
537,West Virginia,2000,5.15,5.15,74.0
538,Wisconsin,2000,5.15,5.15,47.0
539,Wyoming,2000,1.6,5.15,9.0
540,Alabama,2001,0.0,5.15,0.0
541,Alaska,2001,5.65,5.15,20.0
542,Arizona,2001,0.0,5.15,386.0
543,Arkansas,2001,5.15,5.15,3.0
544,California,2001,6.25,5.15,2246.0
545,Colorado,2001,5.15,5.15,126.0
546,Connecticut,2001,6.4,5.15,171.0
547,Delaware,2001,6.15,5.15,17.0
548,District of Columbia,2001,6.15,5.15,12.0
549,Florida,2001,0.0,5.15,302.0
550,Georgia,2001,3.25,5.15,39.0
551,Guam,2001,5.15,5.15,0.0
552,Hawaii,2001,5.25,5.15,0.0
553,Idaho,2001,5.15,5.15,34.0
554,Illinois,2001,5.15,5.15,282.0
555,Indiana,2001,5.15,5.15,139.0
556,Iowa,2001,5.15,5.15,32.0
557,Kansas,2001,2.65,5.15,82.0
558,Kentucky,2001,5.15,5.15,83.0
559,Louisiana,2001,0.0,5.15,10.0
560,Maine,2001,5.15,5.15,32.0
561,Maryland,2001,5.15,5.15,240.0
562,Massachusetts,2001,6.75,5.15,591.0
563,Michigan,2001,5.15,5.15,442.0
564,Minnesota,2001,4.9,5.15,208.0
565,Mississippi,2001,0.0,5.15,3.0
566,Missouri,2001,5.15,5.15,91.0
567,Montana,2001,4.0,5.15,13.0
568,Nebraska,2001,5.15,5.15,54.0
569,Nevada,2001,5.15,5.15,94.0
570,New Hampshire,2001,5.15,5.15,27.0
